depdom,ADEC,MDEC,JDEC,dc_j
02,2018,5,14,12
02,2018,5,15,10
02,2018,5,16,17
02,2018,5,17,21
02,2018,5,18,12
02,2018,5,19,17
02,2018,5,20,11
02,2018,5,21,19
02,2018,5,22,10
02,2018,5,23,8
02,2018,5,24,14
02,2018,5,25,13
02,2018,5,26,14
02,2018,5,27,10
02,2018,5,28,21
02,2018,5,29,14
02,2018,5,30,12
02,2018,5,31,8
02,2018,6,1,16
02,2018,6,2,14
02,2018,6,3,14
02,2018,6,4,13
02,2018,6,5,12
02,2018,6,6,10
02,2018,6,7,13
02,2018,6,8,16
02,2018,6,9,5
02,2018,6,10,10
02,2018,6,11,14
02,2018,6,12,12
02,2018,6,13,10
02,2018,6,14,11
02,2018,6,15,19
02,2018,6,16,16
02,2018,6,17,13
02,2018,6,18,12
02,2018,6,19,11
02,2018,6,20,15
02,2018,6,21,15
02,2018,6,22,13
02,2018,6,23,18
02,2018,6,24,14
02,2018,6,25,13
02,2018,6,26,15
02,2018,6,27,14
02,2018,6,28,12
02,2018,6,29,9
02,2018,6,30,19
02,2018,7,1,14
02,2018,7,2,15
02,2018,7,3,19
02,2018,7,4,24
02,2018,7,5,15
02,2018,7,6,19
02,2018,7,7,14
02,2018,7,8,22
02,2018,7,9,16
02,2018,7,10,9
02,2018,7,11,11
02,2018,7,12,16
02,2018,7,13,21
02,2018,7,14,9
02,2018,7,15,10
02,2018,7,16,15
02,2018,7,17,18
02,2018,7,18,17
02,2018,7,19,24
02,2018,7,20,14
02,2018,7,21,18
02,2018,7,22,7
02,2018,7,23,10
02,2018,7,24,10
02,2018,7,25,20
02,2018,7,26,13
02,2018,7,27,20
02,2018,7,28,29
02,2018,7,29,13
02,2018,7,30,10
02,2018,7,31,18
02,2018,8,1,13
02,2018,8,2,12
02,2018,8,3,18
02,2018,8,4,14
02,2018,8,5,14
02,2018,8,6,17
02,2018,8,7,6
02,2018,8,8,15
02,2018,8,9,10
02,2018,8,10,16
02,2018,8,11,12
02,2018,8,12,10
